Rank,Release Group,Worldwide,Domestic,%,Foreign,%
74,Fireheart,"$2,253,914",-,-,"$2,253,914",100%
75,The Exorcism of God,"$2,227,318",-,-,"$2,227,318",100%
76,The Beatles: Get Back - The Rooftop Concert,"$2,192,440","$976,712",44.5%,"$1,215,728",55.5%
77,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
78,Notre Dame on Fire,"$2,072,569",-,-,"$2,072,569",100%
79,Tajemství staré bambitky 2,"$2,056,980",-,-,"$2,056,980",100%
80,The Grandmother,"$1,953,729",-,-,"$1,953,729",100%
81,The Beatles: Get Back,"$1,939,141",-,-,"$1,939,141",100%
82,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
83,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
84,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
85,Desperate for Marriage,"$1,808,456",-,-,"$1,808,456",100%
86,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
87,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
88,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
89,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
90,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
91,Heart of Oak,"$1,613,736",-,-,"$1,613,736",100%
92,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,609,659","$1,609,659",100%,-,-
93,Undercover,"$1,601,934",-,-,"$1,601,934",100%
94,Gierek,"$1,531,831",-,-,"$1,531,831",100%
95,For Ziko,"$1,526,578",-,-,"$1,526,578",100%
96,V lete ti poviem,"$1,458,597",-,-,"$1,458,597",100%
97,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
98,Odinnadtsat molchalivykh muzhchin,"$1,381,930",-,-,"$1,381,930",100%
99,Umma,"$1,365,586","$1,365,586",100%,-,-
100,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
101,Dilberay Küçük Dev Kadin,"$1,244,893",-,-,"$1,244,893",100%
102,Heart to Heart,"$1,186,659",-,-,"$1,186,659",100%
103,Swingers,"$1,168,817",-,-,"$1,168,817",100%
104,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
105,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
106,1990,"$1,106,702",-,-,"$1,106,702",100%
107,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
108,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
109,The Midnight Maiden War,"$996,057",-,-,"$996,057",100%
110,Aaja Mexico Challiye,"$976,316",-,-,"$976,316",100%
111,Mali Twist,"$956,475",-,-,"$956,475",100%
112,The Tiger Rising,"$941,447","$835,162",88.7%,"$106,285",11.3%
113,Leopoldstadt - Nt Live 2022 (Theatre),"$932,689",-,-,"$932,689",100%
114,Hello Jadoo: The Secret of Jeju Island,"$864,899",-,-,"$864,899",100%
115,Usogui,"$855,598",-,-,"$855,598",100%
116,The Family,"$847,236",-,-,"$847,236",100%
117,Krime Story,"$845,412",-,-,"$845,412",100%
118,Alors on danse,"$832,682",-,-,"$832,682",100%
119,The Souvenir,"$827,917",-,-,"$827,917",100%
120,My Brothers and I,"$825,312",-,-,"$825,312",100%
121,Kappei,"$821,241",-,-,"$821,241",100%
122,Zero Fucks Given,"$805,349",-,-,"$805,349",100%
123,Malnazidos,"$779,798",-,-,"$779,798",100%
124,Adieu Paris,"$771,286",-,-,"$771,286",100%
125,Corro da te,"$761,727",-,-,"$761,727",100%
126,Placés,"$759,453",-,-,"$759,453",100%
127,The Nan Movie,"$744,947",-,-,"$744,947",100%
128,Official Competition,"$742,755",-,-,"$742,755",100%
129,The Ancestral,"$723,811",-,-,"$723,811",100%
130,Emergency Situation,"$714,805",-,-,"$714,805",100%
131,FIR,"$709,663",-,-,"$709,663",100%
132,Boiling Point,"$705,045",-,-,"$705,045",100%
133,The Companions,"$704,580",-,-,"$704,580",100%
134,Zlatni decko,"$695,379",-,-,"$695,379",100%
135,America Latina,"$693,818",-,-,"$693,818",100%
136,Meppadiyan,"$691,981",-,-,"$691,981",100%
137,Liubov i blohery,"$677,744",-,-,"$677,744",100%
138,Lynx,"$668,972",-,-,"$668,972",100%
139,The Deer King,"$654,789",-,-,"$654,789",100%
140,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
141,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
142,Ik wist het,"$636,785",-,-,"$636,785",100%
143,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
144,The Blue Skies at Your Feet,"$613,496",-,-,"$613,496",100%
145,The Phantom of the Open,"$601,962",-,-,"$601,962",100%
146,The Contractor,"$572,148",-,-,"$572,148",100%
147,Serve the People,"$562,293",-,-,"$562,293",100%
148,Full Time,"$547,708",-,-,"$547,708",100%
149,Bangarraju,"$534,735",-,-,"$534,735",100%
150,How I Learned to Fly,"$525,011",-,-,"$525,011",100%
151,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$523,838",-,-,"$523,838",100%
